Node_name	Nr	Li	Nl	Lr
355	1	2	1	3
192	2	2	2	3
331	1	2	1	3
125	2	2	2	3
354	1	2	1	3
122	2	0	0	3
123	2	0	0	3
126	2	2	2	3
142	2	2	2	3
146	2	2	2	3
218	2	2	2	3
215	2	2	2	3
351	1	2	1	3
373	1	2	1	3
141	2	2	2	3
145	2	2	2	3
148	2	2	2	3
149	2	0	0	3
153	2	2	2	3
165	2	2	2	3
154	2	0	0	3
338	1	2	1	3
274	2	2	2	3
342	1	2	1	3
357	1	2	1	3
334	1	2	1	3
336	1	2	1	3
358	1	2	1	3
360	1	2	1	3
335	1	2	1	3
337	1	2	1	3
309	1	2	1	3
359	1	2	1	3
333	1	2	1	3
287	1	2	1	3
311	1	2	1	3
361	1	2	1	3
364	1	2	1	3
363	1	2	1	3
365	1	2	1	3
344	1	2	1	3
345	1	2	1	3
367	1	2	1	3
368	1	2	1	3
347	1	2	1	3
370	1	2	1	3
346	1	2	1	3
369	1	2	1	3
348	1	2	1	3
349	1	2	1	3
371	1	2	1	3
372	1	2	1	3
350	1	2	1	3
352	1	2	1	3
374	1	2	1	3
375	1	2	1	3
376	1	2	1	3
262	2	2	2	3
267	2	0	0	3
